"","afr","alb","ara","arm","aze","baq","bas","bel","ben","bnt","bos","bre","bul","cat","chi","cze","dan","dsb","dut","eng","epo","est","fao","fin","fre","fry","geo","ger","gla","gle","glg","gre","gsw","heb","hin","hrv","hsb","hun","ice","ind","ita","jpn","kaz","kir","kor","kur","lat","lav","lit","ltz","mac","mal","may","mlg","mlt","mon","mul","nds","nno","nor","oci","per","pol","por","roh","rum","rus","sin","slo","slv","spa","srp","swa","swe","tha","tir","tur","ukr","und","urd","vie","wel","wen","wln","xxx","yid","na_count"
"afr",3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,2,2,1,1,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,3,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"alb",0,61,19,9,12,18,1,10,0,0,7,3,43,34,30,43,33,0,45,43,7,32,3,33,49,1,17,27,0,1,12,39,0,29,6,31,0,38,13,8,47,23,0,0,19,1,4,28,34,0,19,1,2,0,0,4,0,0,1,35,1,20,40,38,3,32,38,1,28,35,45,36,0,37,3,0,36,22,0,3,13,1,0,0,1,0,61
"ara",0,19,83,9,11,17,1,9,1,0,7,3,42,31,33,45,39,0,56,55,4,31,2,29,58,1,16,35,1,1,12,41,0,26,5,37,0,43,9,5,60,25,0,0,25,2,2,19,29,1,20,1,3,0,0,2,0,1,1,40,0,21,47,38,3,30,46,1,28,40,53,40,0,39,2,0,40,21,0,3,9,2,0,0,2,0,83
"arm",0,9,9,17,6,10,0,5,0,1,2,0,15,14,11,14,15,0,15,17,4,14,1,11,17,1,8,9,0,1,7,13,0,9,3,12,0,17,5,4,17,9,0,0,9,1,3,10,12,0,9,1,2,0,0,2,0,0,1,13,0,10,16,13,2,12,14,1,13,14,17,13,1,13,3,0,15,12,0,1,6,0,0,0,1,0,17
"aze",0,12,11,6,17,10,1,7,1,0,3,1,14,13,9,16,13,0,16,16,3,13,1,12,17,0,9,9,1,1,8,14,0,9,3,13,0,15,6,2,17,11,0,0,9,2,2,11,12,0,8,1,3,0,0,1,0,0,1,13,1,11,17,15,2,13,15,0,12,14,17,14,1,12,2,0,15,12,0,3,6,1,0,0,1,0,17
"baq",0,18,17,10,10,39,0,8,1,1,5,3,29,30,21,31,32,0,35,36,7,29,2,30,36,1,12,27,1,1,13,28,0,25,4,23,0,32,10,5,36,21,0,0,16,2,2,19,21,0,14,1,3,0,0,3,0,1,1,28,1,22,29,31,3,28,29,1,22,31,38,33,0,30,2,0,29,22,0,2,8,2,0,0,1,0,39
"bas",0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
"bel",0,10,9,5,7,8,1,30,0,0,3,2,19,15,14,22,17,0,23,24,3,15,1,16,27,1,6,15,1,0,6,17,0,14,2,16,0,19,6,5,26,9,0,0,12,1,3,9,13,0,8,1,2,0,0,2,0,0,0,16,0,12,20,17,1,18,19,1,14,15,27,16,0,17,1,0,14,11,0,2,9,0,0,0,1,0,30
"ben",0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
"bnt",0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"bos",0,7,7,2,3,5,0,3,0,0,20,1,15,11,10,16,12,0,14,17,1,11,2,11,16,1,6,6,0,0,4,12,0,10,1,12,0,13,5,3,16,8,0,0,6,0,1,11,11,0,9,0,0,0,0,2,0,0,0,13,0,5,12,11,0,11,13,1,5,14,16,14,0,12,1,0,12,5,0,1,4,0,0,0,0,0,20
"bre",0,3,3,0,1,3,0,2,0,0,1,4,4,4,3,3,4,0,4,4,1,4,1,3,4,0,1,4,0,0,1,3,0,3,0,3,0,4,2,1,4,2,0,0,2,0,0,3,3,0,2,0,0,0,0,2,0,0,0,4,0,3,4,4,0,4,3,0,3,3,4,3,0,4,0,0,3,1,0,1,2,0,0,0,0,0,4
"bul",2,43,42,15,14,29,1,19,1,1,15,4,356,74,83,183,107,0,171,176,13,95,3,83,196,2,31,74,1,1,21,95,1,71,7,100,0,143,20,10,181,74,0,1,46,2,4,78,94,0,41,1,3,0,1,5,0,1,1,104,1,35,156,114,4,88,148,1,76,109,197,113,0,111,4,0,119,41,0,3,22,2,0,0,2,0,356
"cat",0,34,31,14,13,30,1,15,1,0,11,4,74,146,54,89,80,1,104,113,11,58,3,66,126,3,25,43,1,1,22,78,0,52,7,59,0,86,19,9,107,52,0,0,32,2,4,43,59,1,32,1,3,0,0,5,0,3,1,80,2,30,90,81,3,58,77,1,51,69,134,76,0,82,4,0,82,34,0,3,14,2,0,1,3,1,146
"chi",1,30,33,11,9,21,1,14,1,1,10,3,83,54,186,118,79,1,125,118,8,66,3,67,135,3,19,42,0,1,17,74,0,55,5,64,0,95,19,9,135,57,1,0,49,2,5,64,73,1,32,1,3,0,1,5,0,3,0,72,1,30,108,86,2,63,99,1,57,73,134,75,0,78,4,0,93,28,0,3,22,2,0,1,3,1,186
"cze",2,43,45,14,16,31,1,22,1,0,16,3,183,89,118,758,140,0,283,272,13,132,3,113,317,3,33,85,1,2,25,139,0,83,7,123,0,212,23,10,298,114,1,1,70,3,4,112,139,0,46,1,3,0,1,5,0,0,1,135,1,38,262,149,4,120,219,1,137,139,317,143,1,152,4,0,162,50,0,3,26,2,0,0,2,0,758
"dan",2,33,39,15,13,32,1,17,1,1,12,4,107,80,79,140,256,0,184,185,11,89,3,100,195,2,32,48,0,1,22,105,0,76,7,98,0,125,22,10,184,75,0,0,46,2,5,68,82,0,42,1,3,0,1,7,1,2,1,120,1,32,143,117,3,74,111,1,68,97,179,96,0,134,4,0,116,44,0,3,22,2,0,0,1,0,256
"dsb",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
"dut",2,45,56,15,16,35,1,23,1,1,14,4,171,104,125,283,184,0,712,328,16,130,3,130,381,4,33,76,1,1,26,155,3,101,7,132,0,206,24,10,343,108,1,1,70,2,4,108,123,1,50,1,3,0,1,7,0,6,1,153,1,40,263,169,4,107,203,1,105,141,345,140,1,181,4,0,182,48,0,3,26,2,0,0,2,0,712
"eng",2,43,55,17,16,36,1,24,1,1,17,4,176,113,118,272,185,1,328,967,15,124,3,126,430,4,40,116,1,2,25,158,0,109,7,139,0,209,24,10,361,114,0,1,66,3,6,93,120,2,49,1,3,0,1,7,1,4,1,161,2,43,251,176,4,114,207,1,101,160,370,156,1,193,4,0,183,51,0,3,22,2,0,1,4,1,967
"epo",1,7,4,4,3,7,0,3,0,1,1,1,13,11,8,13,11,0,16,15,20,11,1,10,16,1,4,13,0,0,6,11,0,10,2,10,0,11,3,3,13,11,0,0,6,1,2,9,9,0,5,1,2,0,0,3,0,1,0,13,0,7,12,12,0,10,12,0,8,8,16,11,0,11,2,0,9,7,0,2,7,0,0,0,1,0,20
"est",1,32,31,14,13,29,1,15,1,1,11,4,95,58,66,132,89,0,130,124,11,235,3,76,146,2,30,46,1,1,20,81,0,58,6,77,0,109,18,10,134,60,0,0,41,2,4,73,88,1,35,1,3,0,0,6,0,2,1,86,1,31,118,90,5,70,108,1,63,75,137,80,0,92,4,0,85,41,0,3,16,2,0,0,3,0,235
"fao",0,3,2,1,1,2,0,1,0,0,2,1,3,3,3,3,3,0,3,3,1,3,3,3,3,0,0,2,0,0,2,3,0,3,0,3,0,3,2,3,3,3,0,0,3,0,0,3,3,0,3,0,0,0,0,2,0,0,0,3,0,2,3,3,1,3,3,0,3,3,3,2,0,3,0,0,3,3,0,1,2,1,0,0,0,0,3
"fin",2,33,29,11,12,30,1,16,1,1,11,3,83,66,67,113,100,0,130,126,10,76,3,192,141,2,24,49,0,1,22,82,0,60,6,69,0,106,22,8,128,52,0,0,39,2,5,62,66,0,28,1,3,0,1,6,1,1,0,96,1,30,105,94,4,67,90,1,61,79,132,80,0,106,4,0,86,36,0,3,21,2,0,0,1,0,192
"fre",2,49,58,17,17,36,1,27,1,1,16,4,196,126,135,317,195,1,381,430,16,146,3,141,951,4,36,126,1,2,25,180,0,115,7,151,0,233,25,10,434,128,1,0,72,3,5,113,137,2,55,1,3,0,1,7,0,4,1,174,2,44,303,182,5,124,236,1,114,167,443,170,1,211,4,0,202,51,0,3,27,2,0,1,3,1,951
"fry",0,1,1,1,0,1,0,1,0,0,1,0,2,3,3,3,2,1,4,4,1,2,0,2,4,10,1,4,0,0,1,3,0,2,1,1,0,3,1,1,3,0,0,0,1,0,2,2,2,1,1,0,0,0,0,1,0,2,0,3,1,2,3,2,0,3,2,1,3,1,4,3,0,3,0,0,4,2,0,0,1,0,0,1,1,1,10
"geo",0,17,16,8,9,12,1,6,0,0,6,1,31,25,19,33,32,0,33,40,4,30,0,24,36,1,47,16,0,1,12,28,0,19,5,27,0,31,8,4,34,20,0,0,14,1,2,20,26,0,17,1,2,0,0,0,0,0,1,32,1,13,32,30,2,24,28,1,20,31,37,30,0,28,3,0,31,18,0,2,7,0,0,0,1,0,47
"ger",2,27,35,9,9,27,1,15,1,1,6,4,74,43,42,85,48,1,76,116,13,46,2,49,126,4,16,568,1,2,17,53,0,47,7,43,0,67,13,7,96,42,0,0,28,3,4,31,43,1,24,1,3,0,0,4,1,5,1,58,1,29,85,51,3,51,70,1,43,56,105,57,0,60,2,0,48,29,0,3,15,2,0,1,4,1,568
"gla",0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"gle",0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,1,0,1,2,0,1,0,1,2,0,1,2,0,2,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,2,1,1,1,2,0,1,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2
"glg",0,12,12,7,8,13,1,6,1,0,4,1,21,22,17,25,22,0,26,25,6,20,2,22,25,1,12,17,0,0,29,23,0,16,3,19,0,22,10,6,27,20,0,0,12,2,3,15,16,0,12,1,3,0,0,3,0,1,1,22,1,15,23,22,0,19,21,1,18,22,26,22,0,23,2,0,21,17,0,3,9,1,0,0,1,0,29
"gre",0,39,41,13,14,28,1,17,1,0,12,3,95,78,74,139,105,1,155,158,11,81,3,82,180,3,28,53,1,1,23,232,0,67,7,86,0,111,22,9,162,81,0,0,48,2,5,55,76,1,37,1,3,0,1,6,0,2,1,104,2,33,140,116,4,70,108,1,69,87,174,97,0,114,4,0,116,41,0,3,19,2,0,1,2,1,232
"gsw",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"heb",0,29,26,9,9,25,1,14,1,1,10,3,71,52,55,83,76,0,101,109,10,58,3,60,115,2,19,47,0,0,16,67,0,144,5,59,0,75,17,9,110,44,1,0,33,1,3,49,55,0,28,0,2,0,0,5,0,2,1,76,1,25,86,67,1,54,70,1,44,66,109,69,0,82,2,0,76,31,0,3,18,2,0,0,2,0,144
"hin",0,6,5,3,3,4,0,2,1,0,1,0,7,7,5,7,7,0,7,7,2,6,0,6,7,1,5,7,0,1,3,7,0,5,7,7,0,5,3,2,7,5,0,0,6,2,2,5,4,0,4,1,2,0,0,0,0,0,0,7,0,4,6,7,1,5,6,1,5,7,7,7,0,6,2,0,6,5,0,0,3,1,0,0,0,0,7
"hrv",1,31,37,12,13,23,1,16,1,0,12,3,100,59,64,123,98,0,132,139,10,77,3,69,151,1,27,43,1,1,19,86,0,59,7,211,0,110,16,9,137,58,0,0,40,2,4,59,73,0,38,1,3,0,1,5,0,1,1,82,1,30,133,89,2,68,103,1,65,89,143,89,1,93,4,0,96,39,0,3,21,2,0,0,2,0,211
"hsb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hun",2,38,43,17,15,32,1,19,1,1,13,4,143,86,95,212,125,1,206,209,11,109,3,106,233,3,31,67,1,1,22,111,0,75,5,110,0,429,22,10,212,76,0,1,52,2,5,91,104,1,42,1,3,0,1,6,0,4,1,116,2,36,196,122,4,103,158,1,97,112,217,122,1,125,4,0,124,43,0,3,24,2,0,1,4,1,429
"ice",0,13,9,5,6,10,1,6,1,0,5,2,20,19,19,23,22,0,24,24,3,18,2,22,25,1,8,13,0,1,10,22,0,17,3,16,0,22,27,4,25,13,0,0,12,1,2,14,17,0,15,0,1,0,0,3,0,0,0,21,0,14,24,22,2,15,20,1,18,21,23,19,0,21,3,0,22,14,0,2,8,1,0,0,0,0,27
"ind",0,8,5,4,2,5,0,5,0,0,3,1,10,9,9,10,10,0,10,10,3,10,3,8,10,1,4,7,0,0,6,9,0,9,2,9,0,10,4,11,9,7,0,0,9,0,2,9,8,0,6,0,1,0,0,3,0,0,0,8,0,6,10,10,1,10,9,1,10,9,10,8,0,9,1,0,8,9,0,2,6,1,0,0,1,0,11
"ita",2,47,60,17,17,36,1,26,1,1,16,4,181,107,135,298,184,0,343,361,13,134,3,128,434,3,34,96,1,1,27,162,0,110,7,137,0,212,25,9,738,124,1,1,82,2,4,111,134,1,53,1,3,0,1,8,0,3,1,163,1,43,275,177,4,121,228,1,110,158,382,160,1,192,4,0,196,53,0,3,25,2,0,0,2,0,738
