Year,alldnb_2021,alldnb_2023
1968,1,17
1980,17,15
1981,15,11
1982,11,15
1983,15,23
1984,23,25
1985,24,24
1986,24,64
1987,64,72
1988,72,224
1989,224,656
1990,658,793
1991,801,951
1992,959,1045
1993,1069,1148
1994,1156,1005
1995,1007,976
1996,980,1006
1997,1007,1025
1998,1024,1064
1999,1066,1066
2000,1060,1029
2001,1026,999
2002,996,1010
2003,1004,1112
2004,1114,1279
2005,1271,1341
2006,1329,1191
2007,1193,1287
2008,1284,1311
2009,1298,1286
2010,1260,1375
2011,1345,1524
2012,1486,1552
2013,1527,1607
2014,1536,1614
2015,1539,1559
2016,1542,1459
2017,1219,1372
2018,1181,1575
2019,993,1312
2020,552,1363
2021,0,933
2022,0,40