"","author","count"
"1","Abarbanell, Stephan",2
"2","Adler, H. G.",2
"3","Adorján, Johanna",2
"4","Aichinger, Ilse",6
"5","Aichner, Bernhard",3
"6","Altenberg, Peter",3
"7","Andersch, Alfred",4
"8","Arango, Sascha",5
"9","Arendt, Hannah",1
"10","Arjouni, Jakob",8
"11","Artmann, H. C.",3
"12","ATAK",1
"13","Ausländer, Rose",9
"14","Bachmann, Ingeborg",14
"15","Baer, Frank",1
"16","Bánk, Zsuzsa",2
"17","Bannalec, Jean-Luc",5
"18","Bärfuss, Lukas",3
"19","Bauer, Josef Martin",2
"20","Baum, Vicki",1
"21","Becker, Jurek",4
"22","Beer, Erich",1
"23","Benjamin, Walter",7
"24","Benn, Gottfried",13
"25","Bennett, Ben",1
"26","Bentow, Max",1
"27","Berg, Sibylle",2
"28","Bergmann, Emanuel",2
"29","Berkéwicz, Ulla",1
"30","Berling, Peter",4
"31","Bernhard, Thomas",22
"32","Beyer, Marcel",8
"33","Bichsel, Peter",2
"34","Bienek, Horst",3
"35","Biller, Maxim",2
"36","Binkert, Dörthe",3
"37","Bô Yin Râ",1
"38","Bobrowski, Johannes",6
"39","Boëtius, Henning",4
"40","Böll, Heinrich",18
"41","Bomann, Corina",5
"42","Bonné, Mirko",1
"43","Boos, Verena",1
"44","Borchers, Elisabeth",1
"45","Borchert, Wolfgang",4
"46","Boschwitz, Ulrich Alexander",1
"47","Braem, Harald",2
"48","Brambach, Rainer",1
"49","Brant, Sebastian",1
"50","Brasch, Thomas",1
"51","Braun, Volker",8
"52","Bräunig, Werner",1
"53","Brecht, Bertolt",17
"54","Breinholst, Willy",1
"55","Bremer, Jan Peter",1
"56","Brinkmann, Rolf Dieter",2
"57","Broch, Hermann",11
"58","Bronsky, Alina",3
"59","Brückner, Christine",1
"60","Brun, Georg",1
"61","Brussig, Thomas",4
"62","Bubenzer, Anne",1
"63","Buber, Martin",3
"64","Buchheim, Lothar-Günther",2
"65","Buchholz, Quint",3
"66","Buchholz, Simone",1
"67","Büchner, Georg",16
"68","Bürger, Gottfried August",7
"69","Busch, Wilhelm",7
"70","Canetti, Elias",6
"71","Cantieni, Monica",2
"72","Capus, Alex",2
"73","Caspari, Sofia",1
"74","Celan, Paul",27
"75","Chamisso, Adelbert von",7
"76","Cotton, Jerry",1
"77","Cremer, Marcel",1
"78","Czurda, Elfriede",1
"79","Delius, Friedrich Christian",6
"80","Döblin, Alfred",7
"81","Doderer, Heimito von",4
"82","Domin, Hilde",3
"83","Dörrie, Doris",6
"84","Dorst, Tankred",3
"85","Doyle, Virginia",1
"86","Draesner, Ulrike",1
"87","Dragnić, Nataša",7
"88","Drawert, Kurt",2
"89","Droste-Hülshoff, Annette von",6
"90","Drvenkar, Zoran",3
"91","Dübell, Richard",2
"92","Düffel, John von",1
"93","Dürrenmatt, Friedrich",15
"94","Dürrson, Werner",1
"95","Durst-Benning, Petra",4
"96","Dutli, Ralph",1
"97","Duve, Karen",3
"98","Ebner-Eschenbach, Marie von",3
"99","Egger, Oswald",1
"100","Egli, Werner J.",1
"101","Eich, Günter",4
"102","Eichendorff, Joseph von",8
"103","Ende, Michael",2
"104","Enzensberger, Hans Magnus",12
"105","Erb, Elke",2
"106","Erpenbeck, Jenny",7
"107","Eschbach, Andreas",4
"108","Etzold, Veit",1
"109","Ewers, Hanns Heinz",1
"110","Faes, Urs",1
"111","Fallada, Hans",12
"112","Faschinger, Lilian",4
"113","Fassbinder, Rainer Werner",3
"114","Fauser, Jörg",2
"115","Federspiel, Jürg",2
"116","Fels, Ludwig",1
"117","Feuchtwanger, Lion",3
"118","Fischer, Claus Cornelius",2
"119","Fitzek, Sebastian",4
"120","Flašar, Milena Michiko",2
"121","Fleischhauer, Wolfram",3
"122","Fleming, Kayla",1
"123","Florescu, Catalin Dorian",1
"124","Fontane, Theodor",15
"125","Fouqué, Friedrich de La Motte-",7
"126","Franck, Julia",4
"127","Frank, Bruno",1
"128","Frank, Leonhard",1
"129","Frei, Pierre",4
"130","Freytag-Loringhoven, Elsa von",2
"131","Fried, Erich",5
"132","Frisch, Max",13
"133","Frischmuth, Barbara",1
"134","Fritsch, Valerie",1
"135","Fühmann, Franz",1
"136","Gallinge, Edeltraut",2
"137","Gauch, Sigfrid",1
"138","Gehrisch, Peter",1
"139","Geiger, Arno",2
"140","Gellert, Christian Fürchtegott",2
"141","Genazino, Wilhelm",4
"142","George, Nina",5
"143","George, Stefan",5
"144","Gercke, Doris",2
"145","Gerstäcker, Friedrich",4
"146","Gesthuysen, Anne",1
"147","Gier, Kerstin",2
"148","Giordano, Mario",5
"149","Glattauer, Daniel",4
"150","Glauser, Friedrich",3
"151","Glavinic, Thomas",6
"152","Goethe, Johann Wolfgang von",69
"153","Goll, Yvan",3
"154","Gombold, Bernd",1
"155","Gomringer, Nora",3
"156","Göritz, Matthias",1
"157","Gotthelf, Jeremias",6
"158","Gräf, Dieter M.",1
"159","Grass, Günter",15
"160","Grigorcea, Dana",1
"161","Grill, Evelyn",3
"162","Grillparzer, Franz",2
"163","Grimmelshausen, Hans Jakob Christoffel von",3
"164","Grjasnowa, Olga",3
"165","Groß, Claudia",2
"166","Grube, Tina",1
"167","Gruber, Andreas",1
"168","Grün, Max von der",1
"169","Grünbein, Durs",8
"170","Gstrein, Norbert",3
"171","Haas, Wolf",5
"172","Hacke, Axel",3
"173","Hacker, Katharina",3
"174","Hackl, Erich",9
"175","Haderlap, Maja",2
"176","Haffner, Ernst",2
"177","Hagena, Katharina",4
"178","Haich, Elisabeth",1
"179","Haller, Albrecht von",1
"180","Halter, Jürg",1
"181","Hammesfahr, Petra",6
"182","Handke, Peter",18
"183","Händl, Klaus",1
"184","Hanika, Beate Teresa",1
"185","Hansen, Dörte",2
"186","Haratischwili, Nino",2
"187","Haring, Roswitha",1
"188","Hartlieb, Petra",2
"189","Härtling, Peter",3
"190","Hauff, Wilhelm",3
"191","Hauptmann, Gaby",5
"192","Hauptmann, Gerhart",3
"193","Haushofer, Marlen",7
"194","Hebbel, Friedrich",3
"195","Hebel, Johann Peter",4
"196","Heidenreich, Elke",2
"197","Hein, Christoph",4
"198","Heine, Heinrich",27
"199","Heine, Helme",2
"200","Heinichen, Veit",2
"201","Heitz, Markus",2
"202","Held, Monika",1
"203","Heldt, Dora",5
"204","Heller, Eva",1
"205","Henisch, Peter",1
"206","Herbst, Alban Nikolai",2
"207","Hermann, Judith",4
"208","Herrndorf, Wolfgang",5
"209","Herzl, Theodor",1
"210","Herzmanovsky-Orlando, Fritz von",1
"211","Hess, Annette",4
"212","Hesse, Hermann",30
"213","Hettche, Thomas",4
"214","Heym, Georg",4
"215","Heym, Stefan",1
"216","Hilbig, Wolfgang",3
"217","Hildesheimer, Wolfgang",5
"218","Hillenbrand, Tom",1
"219","Hilscher, Eberhard",1
"220","Hilsenrath, Edgar",4
"221","Hochgatterer, Paulus",4
"222","Hoddis, Jakob van",1
"223","Hoffmann, E. T. A.",21
"224","Hoffmann, Heinrich",3
"225","Hofmann, Gert",5
"226","Hofmannsthal, Hugo von",13
"227","Hohlbein, Wolfgang",4
"228","Hohler, Franz",3
"229","Hölderlin, Friedrich",32
"230","Holst, Evelyn",1
"231","Holz, Arno",1
"232","Holzach, Alexander",2
"233","Honigmann, Barbara",2
"234","Hoppe, Felicitas",3
"235","Horváth, Ödön von",8
"236","Huch, Ricarda",2
"237","Huchel, Peter",5
"238","Huizing, Klaas",1
"239","Hülsmann, Petra",1
"240","Hültner, Robert",1
"241","Hünermann, Wilhelm",2
"242","Hürlimann, Thomas",2
"243","Imhof, Agnes",1
"244","Ingold, Felix Philipp",1
"245","Izquierdo, Andreas",1
"246","Jahnn, Hans Henny",3
"247","Jandl, Ernst",1
"248","Jaud, Tommy",2
"249","Jelinek, Elfriede",13
"250","Jenny, Zoë",2
"251","Jünger, Ernst",8
"252","Jünger, Friedrich Georg",1
"253","Kafka, Franz",49
"254","Kaléko, Mascha",2
"255","Kaminer, Wladimir",3
"256","Kaminski, André",1
"257","Kaschnitz, Marie Luise",3
"258","Kasten, Mona",2
"259","Kästner, Erich",4
"260","Kastner, Jörg",3
"261","Kehlmann, Daniel",7
"262","Keilson, Hans",9
"263","Keller, Gottfried",7
"264","Kempowski, Walter",4
"265","Kermani, Navid",2
"266","Keun, Irmgard",4
"267","Keyserling, Eduard von",3
"268","Khider, Abbas",1
"269","Kieseritzky, Ingomar von",1
"270","Kinkel, Tanja",2
"271","Kirchhoff, Bodo",6
"272","Kirsch, Sarah",5
"273","Kirst, Hans Hellmut",4
"274","Kirsten, Wulf",1
"275","Klabund",1
"276","Klein, Georg",1
"277","Kleist, Heinrich von",17
"278","Kling, Thomas",1
"279","Klingemann, Ernst August Friedrich",1
"280","Kloeble, Christopher",1
"281","Kluge, Alexander",4
"282","Knauss, Sibylle",2
"283","Kneip, Matthias",2
"284","Knittel, John",1
"285","Koch, Ursula",1
"286","Koeppen, Wolfgang",5
"287","Kofler, Werner",2
"288","Köhler, Joachim",1
"289","Köhlmeier, Michael",3
"290","Kolbe, Uwe",1
"291","Kolmar, Gertrud",6
"292","Komenda-Soentgerath, Olly",1
"293","Könnecke, Ole",4
"294","Konsalik, Heinz G.",6
"295","Kooij, Rachel van",1
"296","Kornfeld, Paul",1
"297","Kotzebue, August von",1
"298","Kracht, Christian",3
"299","Kraus, Karl",6
"300","Krausser, Helmut",4
"301","Kremser, Stefanie",1
"302","Kricheldorf, Rebekka",1
"303","Krien, Daniela",3
"304","Krolow, Karl",3
"305","Krügel, Mareike",3
"306","Krüger, Michael",10
"307","Kumpfmüller, Michael",3
"308","Kunert, Günter",2
"309","Kunze, Reiner",3
"310","Kurbjuweit, Dirk",2
"311","Kürthy, Ildikó von",2
"312","Kutscher, Volker",6
"313","Laher, Ludwig",1
"314","Landorff, Max",2
"315","Lange-Müller, Katja",1
"316","Lange, Hartmut",2
"317","Lark, Sarah",9
"318","Lasker-Schüler, Else",9
"319","Lavant, Christine",1
"320","Le Fort, Gertrud von",2
"321","Lebert, Benjamin",2
"322","Leeb, Root",1
"323","Leky, Mariana",3
"324","Lenau, Nikolaus",1
"325","Lenz, Hermann",1
"326","Lenz, Jakob Michael Reinhold",2
"327","Lenz, Pedro",1
"328","Lenz, Siegfried",9
"329","Lernet-Holenia, Alexander",5
"330","Lessing, Gotthold Ephraim",12
"331","Lewinsky, Charles",2
"332","Lewitscharoff, Sibylle",2
"333","Lichtenberg, Georg Christoph",3
"334","Lindemann, Till",2
"335","Link, Charlotte",5
"336","Ljubić, Nicol",1
"337","Loetscher, Hugo",3
"338","Löhle, Philipp",2
"339","Löhr, Robert",4
"340","Löns, Hermann",1
"341","Lorentz, Iny",3
"342","Loth, Sebastian",1
"343","Lubomirski, Karl",3
"344","Lucas, Charlotte",2
"345","Lüscher, Jonas",1
"346","Maier, Andreas",3
"347","Maier, Anja",1
"348","Mann, Heinrich",7
"349","Mann, Klaus",7
"350","Mann, Thomas",22
"351","Maron, Monika",4
"352","Marti, Kurt",3
"353","May, Karl",7
"354","Mayröcker, Friederike",10
"355","Meckel, Christoph",2
"356","Meerbaum-Eisinger, Selma",2
"357","Mehr, Mariella",1
"358","Meier, Gerhard",1
"359","Meister, Ernst",6
"360","Menasse, Eva",2
"361","Menasse, Robert",8
"362","Mercier, Pascal",8
"363","Merz, Klaus",4
"364","Meyer, Conrad Ferdinand",2
"365","Meyer, Kai",4
"366","Meyerhoff, Joachim",2
"367","Meyrink, Gustav",10
"368","Micieli, Francesco",1
"369","Mielke, Thomas R. P.",1
"370","Mitgutsch, Anna",4
"371","Mitterer, Felix",1
"372","Modick, Klaus",1
"373","Moers, Walter",4
"374","Mohnnau, Ralph Günther",3
"375","Moníková, Libuše",2
"376","Mora, Terézia",3
"377","Morgenstern, Christian",6
"378","Mörike, Eduard",11
"379","Mosebach, Martin",3
"380","Moser, Milena",3
"381","Mozart, Wolfgang Amadeus",2
"382","Mühsam, Erich",2
"383","Müller, Armin",1
"384","Müller, Heiner",8
"385","Müller, Herta",12
"386","Müller, Wilhelm",2
"387","Mulot, Sibylle",1
"388","Muschg, Adolf",3
"389","Musil, Robert",14
"390","Nadj Abonji, Melinda",2
"391","Nadolny, Sten",4
"392","Nendza, Jürgen",1
"393","Nestroy, Johann",1
"394","Neuhaus, Nele",10
"395","Nietzsche, Friedrich",18
"396","Noll, Ingrid",5
"397","Nossack, Hans Erich",1
"398","Novalis",11
"399","Ohnemus, Günter",1
"400","Olsberg, Karl",1
"401","Oppenheim, Meret",1
"402","Ortheil, Hanns-Josef",1
"403","Orths, Markus",5
"404","Ostermaier, Albert",1
"405","Özdamar, Emine Sevgi",4
"406","Özdogan, Selim",1
"407","Palmer, Lilli",1
"408","Parei, Inka",2
"409","Paretti, Sandra",1
"410","Paura, Martina",1
"411","Peetz, Monika",3
"412","Peinkofer, Michael",1
"413","Peltzer, Ulrich",4
"414","Perutz, Leo",5
"415","Pestum, Jo",1
"416","Petrowskaja, Katja",5
"417","Pietraß, Richard",2
"418","Plenzdorf, Ulrich",2
"419","Poethen, Johannes",2
"420","Polgar, Alfred",1
"421","Poschmann, Marion",2
"422","Pötzsch, Oliver",8
"423","Poznanski, Ursula",2
"424","Prange, Peter",4
"425","Raabe, Marc",2
"426","Raabe, Melanie",7
"427","Raabe, Wilhelm",3
"428","Rachowski, Utz",1
"429","Rademacher, Cay",3
"430","Raeber, Kuno",3
"431","Raimund, Hans",2
"432","Rakusa, Ilma",1
"433","Rammstedt, Tilman",3
"434","Ransmayr, Christoph",5
"435","Regener, Sven",2
"436","Reider, Katja",2
"437","Remarque, Erich Maria",7
"438","Rezzori, Gregor von",5
"439","Rilke, Rainer Maria",64
"440","Rimpau, Cornelia",1
"441","Rinck, Monika",2
"442","Ringelnatz, Joachim",1
"443","Rinke, Moritz",3
"444","Rinser, Luise",4
"445","Roche, Charlotte",5
"446","Rode, Tibor",1
"447","Rodik, Belinda",1
"448","Röggla, Kathrin",2
"449","Rosendorfer, Herbert",3
"450","Roth, Joseph",10
"451","Roth, Patrick",2
"452","Rothmann, Ralf",6
"453","Rotzetter, Anton",1
"454","Ruge, Eugen",4
"455","Saar, Ferdinand von",1
"456","Sacher-Masoch, Leopold von",8
"457","Sachs, Nelly",3
"458","Safier, David",6
"459","Sahl, Hans",1
"460","Said",2
"461","Said, Kurban",3
"462","Salten, Felix",3
"463","Salzmann, Marianna",4
"464","Sander, Gregor",2
"465","Sartorius, Joachim",4
"466","Saunders, Kate",2
"467","Schädlich, Hans Joachim",1
"468","Schalansky, Judith",3
"469","Schami, Rafik",5
"470","Schaper, Edzard",1
"471","Schätzing, Frank",7
"472","Schenkel, Andrea Maria",4
"473","Scheuermann, Silke",4
"474","Schiller, Friedrich",20
"475","Schimmang, Jochen",1
"476","Schimmelpfennig, Roland",3
"477","Schindel, Robert",1
"478","Schirach, Ferdinand von",7
"479","Schlag, Evelyn",2
"480","Schlattner, Eginald",1
"481","Schlegel, Dorothea von",2
"482","Schlegel, Friedrich von",1
"483","Schlink, Bernhard",8
"484","Schmidt, Arno",6
"485","Schmidt, Kathrin",1
"486","Schmitter, Elke",3
"487","Schneider, Peter",5
"488","Schneider, Robert",3
"489","Schnitzler, Arthur",21
"490","Schoder, Sabine",1
"491","Schreiber, Claudia",2
"492","Schrobsdorff, Angelika",1
"493","Schröder-Devrient, Wilhelmine",2
"494","Schroeder, Bernd",1
"495","Schubiger, Jürg",1
"496","Schulze, Ingo",6
"497","Sebald, W. G.",7
"498","Seethaler, Robert",4
"499","Seghers, Anna",8
"500","Seghers, Jan",1
"501","Seiler, Lutz",3
"502","Sendker, Jan-Philipp",7
"503","Setz, Clemens J.",1
"504","Simmel, Johannes Mario",4
"505","Skwara, Erich Wolfgang",1
"506","Sommer-Bodenburg, Angela",1
"507","Specht, Kerstin",2
"508","Spengler, Tilman",7
"509","Spinnen, Burkhard",1
"510","Spitteler, Carl",1
"511","Stadler, Ernst",1
"512","Stalmann, Franziska",1
"513","Stamm, Peter",3
"514","Stanišić, Saša",5
"515","Stein, Benjamin",2
"516","Steiner, Rudolf",8
"517","Steinherr, Ludwig",2
"518","Sternheim, Carl",1
"519","Stifter, Adalbert",11
"520","Storm, Theodor",7
"521","Strauß, Botho",6
"522","Strobel, Arno",1
"523","Sudermann, Hermann",2
"524","Suhr, Geertje",2
"525","Sulzer, Alain Claude",2
"526","Surminski, Arno",2
"527","Süskind, Patrick",10
"528","Suter, Martin",7
"529","Svatek, Kurt F.",7
"530","Swann, Leonie",1
"531","Tabori, George",1
"532","Tawada, Yōko",1
"533","Taylor, Kathryn",2
"534","Tellkamp, Uwe",2
"535","Thiemeyer, Thomas",2
"536","Thomas, Charlotte",1
"537","Tieck, Ludwig",3
"538","Tielsch, Ilse",3
"539","Timm, Uwe",8
"540","Trakl, Georg",15
"541","Traven, B.",3
"542","Treichel, Hans-Ulrich",4
"543","Trojanow, Ilija",5
"544","Tschinag, Galsan",3
"545","Tucholsky, Kurt",6
"546","Turrini, Peter",1
"547","Unger, Gert F.",1
"548","Vandenberg, Philipp",3
"549","Vanderbeke, Birgit",3
"550","Veloso, Ana",1
"551","Vennemann, Kevin",2
"552","Vermes, Timur",7
"553","Veteranyi, Aglaja",2
"554","Vilar, Esther",1
"555","Vogel, Alois",3
"556","Vosseler, Nicole C.",1
"557","Waberer, Keto von",1
"558","Wackenroder, Wilhelm Heinrich",2
"559","Wagner, David",1
"560","Wagner, Jan",4
"561","Wagner, Jan Costin",4
"562","Wagner, Richard",7
"563","Wallner, Michael",5
"564","Walser, Martin",9
"565","Walser, Robert",14
"566","Walz, Eric",1
"567","Wander, Fred",2
"568","Wassermann, Jakob",7
"569","Wawerzinek, Peter",1
"570","Wedekind, Frank",7
"571","Weidermann, Volker",6
"572","Weiss, Peter",7
"573","Wells, Benedict",5
"574","Welsh, Renate",1
"575","Werfel, Franz",10
"576","Werner, Markus",4
"577","Wickert, Erwin",1
"578","Widder, Bernhard",1
"579","Widmer, Urs",5
"580","Wiechert, Ernst",3
"581","Wilhelm, Andreas",1
"582","Wilkomirski, Binjamin",1
"583","Williges, Fabian W.",1
"584","Winkler, Josef",4
"585","Winkler, Katharina",3
"586","Winkler, Philipp",2
"587","Winter, Karen",1
"588","Wiplinger, Peter Paul",2
"589","Wodin, Natascha",2
"590","Wohl, Louis de",1
"591","Wolf, Christa",11
"592","Wolf, Klaus-Peter",1
"593","Wondratschek, Wolf",1
"594","Wühr, Paul",1
"595","Zaimoglu, Feridun",3
"596","Zeh, Juli",7
"597","Zelik, Raul",1
"598","Zimnik, Reiner",2
"599","Zweig, Arnold",4
"600","Zweig, Stefan",20
"601","Zweig, Stefanie",4
